00AA,LEOTI. KS
MTC,MOUNT CLEMENS. MI
MTF,FAIRBANKS. AK
MTH,MARATHON. FL
MTJ,MONTROSE. CO
MTN,BALTIMORE. MD
MTO,MATTOON/CHARLESTON. IL
MTP,MONTAUK. NY
MTV,MARTINSVILLE. VA
MTW,MANITOWOC. WI
MU00,PARIS. MO
MU02,WARRENTON. MO
MU03,BROOKFIELD. MO
MU04,MALDEN. MO
MU06,ATLANTA. MO
MU07,ADRIAN. MO
MU09,BURLINGTON JUNCTION. MO
MU11,CLIMAX SPRINGS. MO
MU13,PARNELL. MO
MU14,BELLE. MO
MU18,WARRENTON. MO
MU20,ODESSA. MO
MU21,BAY. MO
MU22,FREDERICKTOWN. MO
MU23,COLUMBIA. MO
MU24,CEDARCREEK. MO
MU25,HOUSTON. MO
MU26,BELTON. MO
MU27,LOCKWOOD. MO
MU31,OSBORN. MO
MU32,COLUMBIA. MO
MU35,ARKOE. MO
MU38,MILAN. MO
MU41,PURDY. MO
MU46,BELTON. MO
MU48,GAINESVILLE. MO
MU57,CONWAY. MO
MU62,DREXEL. MO
MU63,ELKLAND. MO
MU65,FARMINGTON. MO
MU68,HERMANN. MO
MU70,OZARK. MO
MU73,HIGHLANDVILLE. MO
MU77,FAYETTE. MO
MU78,WAYNESVILLE. MO
MU83,NEW HAVEN. MO
MU84,LONE JACK. MO
MU88,POPLAR BLUFF. MO
MU89,TROY. MO
MU97,LEXINGTON. MO
MU98,EAGLE ROCK. MO
MU99,ROLLA. MO
MUE,KAMUELA. HI
MUL,MOULTRIE. GA
MUO,MOUNTAIN HOME. ID
MUT,MUSCATINE. IA
MVC,MONROEVILLE. AL
MVE,MONTEVIDEO. MN
MVI,MONTE VISTA. CO
MVL,MORRISVILLE. VT
MVM,MACHIAS. ME
MVN,MOUNT VERNON. IL
MVY,VINEYARD HAVEN. MA
MWA,MARION. IL
MWC,MILWAUKEE. WI
MWH,MOSES LAKE. WA
MWK,MOUNT AIRY. NC
MWL,MINERAL WELLS. TX
MWM,WINDOM. MN
MWO,MIDDLETOWN. OH
MXA,MANILA. AR
MXF,MONTGOMERY. AL
MXO,MONTICELLO. IA
MY00,TRUMAN. MN
MY01,WARREN. MN
MY10,SPRING GROVE. MN
MY12,TROSKY. MN
MY15,PIERZ. MN
MY17,HASTINGS. MN
MY18,LINO LAKES. MN
MY29,LAKE PARK. MN
MY35,AFTON. MN
MY37,EYOTA. MN
MY46,NICOLLET. MN
MY50,FRONTENAC. MN
MY52,COATES. MN
MY54,BEMIDJI. MN
MY56,HIBBING. MN
MY57,HOLDINGFORD. MN
MY59,EUCLID. MN
MY66,ONAMIA. MN
MY68,WHEATON. MN
MY72,ISLE. MN
MY80,CEYLON. MN
MY90,NORTH BRANCH. MN
MY94,CLOQUET. MN
MY95,CROWN. MN
MY97,FARMINGTON. MN
MY99,HAWLEY. MN
MYF,SAN DIEGO. CA
MYJ,MEXICO. MO
MYK,MAY CREEK. AK
MYL,MC CALL. ID
MYR,MYRTLE BEACH. SC
MYU,MEKORYUK. AK
MYV,MARYSVILLE. CA
MYZ,MARYSVILLE. KS
MZH,MOOSE LAKE. MN
MZJ,MARANA. AZ
MZZ,MARION. IN
N03,CORTLAND. NY
N05,HACKETTSTOWN. NJ
N06,LAUREL. DE
N07,LINCOLN PARK. NJ
N08,FARMVILLE. NC
N12,LAKEWOOD. NJ
N13,BLOOMSBURG. PA
N14,LUMBERTON. NJ
N15,KINGSTON. NV
N16,CENTRE HALL. PA
N17,VAUGHN. NM
N18,ARNO ATOLL. MH
N19,AZTEC. NM
N20,ARNO ATOLL. MH
N22,JACKSONVILLE. NC
N23,SIDNEY. NY
N24,QUESTA. NM
N25,GALLUPVILLE. NY
N26,PINEHURST. NC
N27,TOWANDA. PA
N29,MAGDALENA. NM
N30,HONESDALE. PA
N35,PUNXSUTAWNEY. PA
N36,WOTJE ATOLL. MH
N38,WELLSBORO. PA
N40,PITTSTOWN. NJ
N41,WATERBURY. CT
N43,EASTON. PA
N45,WALLKILL. NY
N47,POTTSTOWN. PA
N51,READINGTON. NJ
N52,WAXHAW. NC
N55,JABOR JALUIT ATOLL. MH
N56,GREAT VALLEY. NY
N57,TOUGHKENAMON. PA
N58,FERNLEY. NV
N59,SMITH. NV
N61,LIBERTY. NC
N63,WALNUT COVE. NC
N66,ONEONTA. NY
N68,CHAMBERSBURG. PA
N69,STORMVILLE. NY
N71,MOUNT JOY/MARIETTA. PA
N72,WARWICK. NY
N74,CENTRE HALL. PA
N79,SHAMOKIN. PA
N81,HAMMONTON. NJ
N82,WURTSBORO. NY
N83,OAK RIDGE. NC
N85,PITTSTOWN. NJ
N86,RENO. NV
N87,ROBBINSVILLE. NJ
N88,JULIAN. NC
N89,ELLENVILLE. NY
N92,MAIDEN. NC
N94,CARLISLE. PA
N96,BELLEFONTE. PA
N97,THOMASVILLE. NC
N98,BOYNE CITY. MI
NA02,REYNOLDS. ND
NA05,SHELDON. ND
NA06,SHEYENNE. ND
NA07,SOURIS. ND
NA10,STARKWEATHER. ND
NA12,TURTLE LAKE. ND
NA13,VELVA. ND
NA17,WEST FARGO. ND
NA18,WILLISTON. ND
NA21,WYNDMERE. ND
NA32,ELDRIDGE. ND
NA33,ESMOND. ND
NA38,MADDOCK. ND
NA49,RUGBY. ND
NA54,WESTFIELD. ND
NA55,BARNEY. ND
NA56,BARNEY. ND
NA60,GRANDIN. ND
NA63,GRENORA. ND
NA65,HOOPLE. ND
NA71,TAPPEN. ND
NA73,UPHAM. ND
NA75,BREMEN. ND
NA79,TURTLE LAKE. ND
NA81,BUXTON. ND
NA84,ELDRIDGE. ND
NA86,LUVERNE. ND
NA88,REGAN. ND
NA90,UNDERWOOD. ND
NA98,SCRANTON. ND
NA99,WALCOTT. ND
NBC,BEAUFORT. SC
NBG,NEW ORLEANS. LA
NBJ,FOLEY. AL
NC00,SANFORD. NC
NC01,HERTFORD. NC
NC02,HARRIS. NC
NC03,HIGH POINT. NC
NC05,HUNTERSVILLE. NC
NC06,BANNER ELK. NC
NC08,HAYESVILLE. NC
NC09,STATESVILLE. NC
NC10,MACON. NC
NC11,APEX. NC
NC12,AURORA. NC
NC13,RAMSEUR. NC
NC14,BOONE. NC
NC15,STATESVILLE. NC
NC19,CONCORD. NC
NC2,TAYLORSVILLE. NC
NC20,NEW BERN. NC
NC21,WEDDINGTON. NC
NC22,DUNN. NC
NC25,GOLD HILL. NC
NC26,CATAWBA. NC
NC27,LENOIR. NC
NC28,ELIZABETH CITY. NC
NC29,CHINA GROVE. NC
NC30,MOORESVILLE. NC
NC31,THOMASVILLE. NC
NC32,CLEMMONS. NC
NC34,CHAPEL HILL. NC
NC35,NORTH WILKESBORO. NC
NC36,GRANDY. NC
NC37,REIDSVILLE. NC
NC39,KANNAPOLIS. NC
NC40,ROXBORO. NC
NC42,YADKINVILLE. NC
NC43,SUPPLY. NC
NC44,ANGIER. NC
NC45,ENFIELD. NC
NC48,WALLACE. NC
NC49,GRIMESLAND. NC
NC50,JEFFERSON. NC
NC52,MORGANTON. NC
NC54,ATLANTIC. NC
NC56,KITTRELL. NC
NC58,TAYLORSVILLE. NC
NC59,TAYLORSVILLE. NC
NC61,MOYOCK. NC
NC63,WINSTON SALEM. NC
NC64,KANNAPOLIS. NC
NC65,ATKINSON. NC
NC66,SCOTLAND NECK. NC
NC67,ASHEVILLE. NC
NC70,FAIRMONT. NC
NC71,PARKTON. NC
NC72,PRINCETON. NC
NC73,SLADESVILLE. NC
NC74,LIBERTY. NC
NC75,HARMONY. NC
NC77,CONCORD. NC
NC81,APEX. NC
NC82,DUBLIN. NC
NC84,HOBGOOD. NC
NC86,WHITE OAK. NC
NC93,SALISBURY. NC
NC97,SHELBY. NC
NC99,GARNER. NC
NCA,JACKSONVILLE. NC
ND01,AMENIA. ND
ND02,ANETA. ND
ND07,ABSARAKA. ND
ND09,DAZEY. ND
ND10,DICKINSON. ND
ND12,HAZELTON. ND
ND14,FORDVILLE. ND
ND16,HALLIDAY. ND
ND18,GLENBURN. ND
ND19,SUTTON. ND
ND20,HATTON. ND
ND22,GARRISON. ND
ND24,INKSTER. ND
ND25,WATFORD CITY. ND
ND26,ALEXANDER. ND
ND35,LUCCA. ND
ND36,MINOT. ND
ND40,MEDINA. ND
ND41,STRASBURG. ND
ND42,SAWYER. ND
ND43,MINOT. ND
ND44,UNDERWOOD. ND
ND47,ENDERLIN. ND
ND49,WYNDMERE. ND
ND52,WEST FARGO. ND
ND53,AYR. ND
ND54,ROBINSON. ND
ND55,YPSILANTI. ND
ND59,BUFFALO. ND
ND60,ARVILLA. ND
ND62,TAYLOR. ND
ND68,WHEATLAND. ND
ND72,HARVEY. ND
ND73,AMENIA. ND
ND74,AMENIA. ND
ND75,ANAMOOSE. ND
ND78,AYR. ND
ND82,RAY. ND
ND85,HAZELTON. ND
ND86,GRENDRA. ND
ND89,CLEMENTSVILLE. ND
ND90,COGSWELL/BRAMPTON/. ND
ND92,TURTLE LAKE. ND
ND96,BISMARK. ND
ND98,LINCOLN. ND
ND99,HICKSON. ND
NDY,DAHLGREN. VA
NDZ,MILTON. FL
NE01,GUIDE ROCK. NE
NE06,LYNCH. NE
NE08,LAMAR. NE
NE09,NORFOLK. NE
NE12,FRANKLIN. NE
NE15,MAYWOOD. NE
NE20,STEINAUER. NE
NE21,OXFORD. NE
NE24,GRETNA. NE
NE25,NORTH PLATTE. NE
NE26,ASHLAND. NE
NE29,MINDEN. NE
NE30,HOLDREGE. NE
NE33,ARTHUR. NE
NE34,SIDNEY. NE
NE35,CHESTER. NE
NE36,ANSELMO. NE
NE37,COLUMBUS. NE
NE38,PROSSER. NE
NE40,DENTON. NE
NE42,LINCOLN. NE
NE43,MORSE BLUFF. NE
NE44,ELGIN. NE
NE45,ANSLEY. NE
NE46,GREELEY. NE
NE49,GRETNA. NE
NE51,ROYAL. NE
NE56,VALLEY. NE
NE57,LIBERTY. NE
NE59,LINCOLN. NE
NE64,HERSHEY. NE
NE65,MILFORD. NE
NE67,HOSKINS. NE
NE69,WEEPING WATER. NE
NE73,EWING. NE
NE75,DAKOTA CITY. NE
NE78,NORFOLK. NE
NE79,ROCA. NE
NE80,ROCA. NE
NE81,SPENCER. NE
NE82,MURRAY. NE
NE83,HENDERSON. NE
NE89,O`NEILL. NE
NE92,WYMORE. NE
NE95,CULBERTSON. NE
NEL,LAKEHURST. NJ
NEN,JACKSONVILLE. FL
NEW,NEW ORLEANS. LA
NFD,SUMMERDALE. AL
NFE,FENTRESS. VA
NFG,OCEANSIDE. CA
NFJ,MILTON. FL
NFL,FALLON. NV
NFW,FORT WORTH. TX
NGF,KANEOHE. HI
NGP,CORPUS CHRISTI. TX
NGS,MILTON. FL
NGT,BERCLAIR. TX
NGU,NORFOLK. VA
NGW,CORPUS CHRISTI. TX
NH07,LOUDON. NH
NH16,BROOKLINE. NH
NH17,MASON. NH
NH18,CENTER OSSIPEE. NH
NH20,SANBORNTON. NH
NH30,MOULTONBOROUGH. NH
NH31,WOLFEBORO. NH
NH38,ALBANY. NH
NH39,WALPOLE. NH
NH40,NEW LONDON. NH
NH43,NOTTINGHAM. NH
NH49,WOODSTOCK. NH
NH60,NEW BOSTON. NH
NH61,CHESTER. NH
NH67,BRENTWOOD. NH
NH69,WEST OSSIPEE. NH
NH76,MASON. NH
NH78,PELHAM. NH
NH84,NORTHWOOD. NH
NH86,HENNIKER. NH
NH88,GOFFSTOWN. NH
NH96,WENTWORTH. NH
NHK,PATUXENT RIVER. MD
NHU,NORFOLK. VA
NID,CHINA LAKE. CA
NIN,NINILCHIK. AK
NIP,JACKSONVILLE. FL
NJ09,BELVIDERE. NJ
NJ20,CHATSWORTH. NJ
NJ24,BURLINGTON COUNTY. NJ
NJ25,CLARKSBORO. NJ
NJ46,ENGLISHTOWN. NJ
NJ50,FLEMINGTON. NJ
NJ59,FREEHOLD. NJ
NJ60,FREEHOLD. NJ
NJ61,FRENCHTOWN. NJ
NJ63,FRENCHTOWN. NJ
NJ65,GREAT MEADOWS. NJ
NJ72,HOLMDEL. NJ
NJ74,SALEM. NJ
NJ79,LAMBERTVILLE. NJ
NJ84,BRIDGETON. NJ
NJ95,MILFORD. NJ
NJK,EL CENTRO. CA
NJM,SWANSBORO. NC
NJW,MERIDIAN. MS
NK01,CARTHAGE. NY
NK04,CONSTANTIA. NY
NK05,DANBY. NY
NK08,HIGH FALLS. NY
NK09,BURDETT. NY
NK12,CORNING. NY
NK16,GOUVERNEUR. NY
NK17,GANSEVOORT. NY
NK19,CLARENCE CENTER. NY
NK24,MONTOUR FALLS. NY
NK26,OLD FORGE. NY
NK27,SPRINGVILLE. NY
NK31,ALBION. NY
NK43,ALBANY. NY
NK51,CHITTENANGO. NY
NK53,SULLIVANVILLE. NY
NK54,ERIN. NY
NK68,HANCOCK. NY
NK71,MARCELLUS. NY
NK72,ITHACA. NY
NK74,AURORA. NY
NK76,GENEVA. NY
NK79,SLATE HILL. NY
NK87,CLARENCE CENTER. NY
NK91,SHARON SPRINGS. NY
NKT,CHERRY POINT. NC
NKX,SAN DIEGO. CA
NLC,LEMOORE. CA
NM01,MAGDALENA. NM
NM02,MORIARTY. NM
NM03,TAOS. NM
NM05,SANTA TERESA. NM
NM08,DEMING. NM
NM09,COLUMBUS. NM
NM10,ALBERT. NM
NM12,ANIMAS. NM
NM14,CLAYTON. NM
NM16,BUCKHORN. NM
NM17,ROY. NM
NM2,CUBA. NM
NM20,DEMING. NM
NM24,CHAMA. NM
NM25,CORONA. NM
NM26,DEMING. NM
NM27,GALLUP. NM
NM29,ROSEBUD. NM
NM30,PIE TOWN. NM
NM32,BELL RANCH. NM
NM33,BELL RANCH. NM
NM37,TRUTH OR CONSEQUENCES. NM
NM38,FORT SUMNER. NM
NM40,BOSQUE. NM
NM41,PIE TOWN. NM
NM42,CLOVIS. NM
NM47,ARTESIA. NM
NM48,ENSENADA. NM
NM49,WILLARD. NM
NM51,CHLORIDE. NM
NM52,NARA VISA. NM
NM53,LAS VEGAS. NM
NM54,RESERVE. NM
NM55,GLENWOOD. NM
NM56,RAMAH. NM
NM64,ANIMAS. NM
NM66,PIE TOWN. NM
NM69,MIMBRES. NM
NM70,RODEO. NM
NM73,MC ALISTER. NM
NM78,COLUMBUS. NM
NM80,QUEMADO. NM
NM83,HOBBS. NM
NM84,CAPITAN. NM
NM86,PLAYAS. NM
NM87,ROSWELL. NM
NM88,BOSQUE. NM
NM89,LOS LUNAS. NM
NM90,RODEO. NM
NM91,FENCE LAKE. NM
NM92,ROWE. NM
NM99,GAVILAN. NM
NMM,MERIDIAN. MS
NMW,ASTORIA. OR
NOG,ORANGE GROVE. TX
NOW,PORT ANGELES. WA
NPA,PENSACOLA. FL
NQA,MILLINGTON. TN
NQI,KINGSVILLE. TX
NQX,KEY WEST. FL
NR02,MOUNT GILEAD. NC
NR04,TAYLORSVILLE. NC
NR08,ROWLAND. NC
NR10,PINK HILL. NC
NR20,RAEFORD. NC
NR21,BURLINGTON. NC
NR32,HOLLY RIDGE. NC
NR33,REIDSVILLE. NC
NR37,TRENTON. NC
NR40,BETHEL. NC
NR42,CHERRYVILLE. NC
NR70,SALISBURY. NC
NR72,GOLD HILL. NC
NR77,LILLINGTON. NC
NR82,WHITEVILLE. NC
NR88,CARTHAGE. NC
NR92,BEAUFORT. NC
NR94,LAWSONVILLE. NC
NRA,COUPEVILLE. WA
NRB,MAYPORT. FL
NRN,NORTON. KS
NRQ,PACE. FL
NRS,IMPERIAL BEACH. CA
NSE,MILTON. FL
NSI,SAN NICOLAS ISLAND. CA
NTD,OXNARD. CA
NTU,VIRGINIA BEACH. VA
NUC,SAN CLEMENTE ISLAND. CA
NUI,ST INIGOES. MD
NUL,NULATO. AK
NUQ,MOUNTAIN VIEW. CA
NUW,OAK HARBOR. WA
NV00,PAHRUMP. NV
NV02,AUSTIN. NV
NV04,DEETH. NV
NV05,GERLACH. NV
NV06,GERLACH. NV
NV07,WELLS. NV
NV08,MOUNTAIN CITY. NV
NV09,RENO. NV
NV12,TUSCARORA. NV
NV14,MONTELLO. NV
NV17,LEMMON VALLEY. NV
NV22,ELKO. NV
NV27,DYER. NV
NV30,FALLON. NV
NV31,ROUND MOUNTAIN. NV
NV33,SMITH VALLEY. NV
NV35,AUSTIN. NV
NV39,LOVELOCK. NV
NV47,WINNEMUCCA. NV
NV55,GARDNERVILLE. NV
NV64,BATTLE MOUNTAIN. NV
NV65,MERCURY. NV
NV67,MONTELLO. NV
NV68,WINNEMUCCA. NV
NV72,WELLINGTON. NV
NV83,ROUND MOUNTAIN. NV
NV88,OROVADA. NV
NV89,CRESCENT VALLEY. NV
NV96,SPARKS. NV
NV97,WELLINGTON. NV
NV98,PAHRUMP. NV
NV99,ELY. NV
NVD,NEVADA. MO
NWL,CORPUS CHRISTI. TX
NXP,TWENTYNINE PALMS. CA
NY0,JOHNSTOWN. NY
NY01,KNOWLESVILLE. NY
NY02,DAVENPORT. NY
NY03,SHELTER ISLAND. NY
NY05,ESPERANCE. NY
NY06,ALBION. NY
NY07,CANTON. NY
NY1,GHENT. NY
NY10,NEW BREMEN. NY
NY11,MACEDON. NY
NY13,LYONS. NY
NY15,LAKEVILLE. NY
NY16,EAST PALMYRA. NY
NY17,PLATTSBURGH. NY
NY18,ITHACA. NY
NY19,ELBRIDGE. NY
NY20,FORT PLAIN. NY
NY23,MOHAWK. NY
NY24,NIAGARA FALLS. NY
NY25,CAMILLUS. NY
NY26,HERKIMER. NY
NY27,SOUTH DAYTON. NY
NY28,JORDAN. NY
NY29,WATKINS GLEN. NY
NY31,PHOENIX. NY
NY33,PALMYRA. NY
NY34,CAMERON. NY
NY35,NEW PALTZ. NY
NY37,GALWAY. NY
NY40,HOLLAND. NY
NY41,CLYDE. NY
NY42,RED CREEK. NY
NY48,SOUTH KORTRIGHT. NY
NY49,NIAGARA FALLS. NY
NY50,PERTH. NY
NY51,CANAJOHARIE. NY
NY53,ROME. NY
NY55,ITHACA. NY
NY57,REMSEN. NY
NY59,AVA. NY
NY60,BEEKMANTOWN. NY
NY62,VERONA. NY
NY63,GREENWICH. NY
NY64,BROADALBIN. NY
NY66,BROADALBIN. NY
NY68,RICHFIELD SPRINGS. NY
NY69,CAPE VINCENT. NY
NY70,MOUNT MORRIS. NY
NY72,MANLIUS. NY
NY73,COVENTRYVILLE. NY
NY74,COXSACKIE. NY
NY76,CATTARAUGUS. NY
NY78,ROCHESTER. NY
NY79,BLISS. NY
NY82,EAST SCHODACK. NY
NY87,FORT JOHNSON. NY
NY88,FORT PLAIN. NY
NY89,JAMESTOWN. NY
NY91,PETERBORO. NY
NY92,MARATHON. NY
NY94,RHINEBECK. NY
NY95,HOLCOMB. NY
NY96,MEXICO. NY
NY97,MORRISONVILLE. NY
NYG,QUANTICO. VA
NYL,YUMA. AZ
NZY,SAN DIEGO. CA
O02,BECKWOURTH. CA
O05,CHESTER. CA
O08,COLUSA. CA
O09,COVELO. CA
O13,ERICK. OK
O14,NINNEKAH. OK
O15,TURLOCK. CA
O16,GARBERVILLE. CA
O18,INOLA. OK
O19,EUREKA. CA
O20,LODI. CA
O21,HOOPA. CA
O22,COLUMBIA. CA
O24,LEE VINING. CA
O26,LONE PINE. CA
O27,OAKDALE. CA
O28,WILLITS. CA
O29,IMNAHA. OR
O32,REEDLEY. CA
O33,EUREKA. CA
O35,HOLLIS. OK
O37,ORLAND. CA
O38,OWASSO. OK
O39,RAVENDALE. CA
O41,WOODLAND. CA
O42,WOODLAKE. CA
O43,YERINGTON. NV
O44,LEXINGTON. OK
O45,HOOKER. OK
O46,WEED. CA
O47,PRAGUE. OK
O48,IMNAHA. OR
O52,YUBA CITY. CA
O53,MEDFORD. OK
O54,WEAVERVILLE. CA
O55,BIEBER. CA
O57,BRIDGEPORT. CA
O59,CEDARVILLE. CA
O60,CLOVERDALE. CA
O61,CAMERON PARK. CA
O62,ENTERPRISE. OR
O65,OKEENE. OK
O68,IMNAHA. OR
O69,PETALUMA. CA
O74,MOUNT VICTORY. OH
O79,SIERRAVILLE. CA
O81,TULELAKE. CA
O85,REDDING. CA
O86,TRINITY CENTER. CA
O88,RIO VISTA. CA
O89,FALL RIVER MILLS. CA
OA00,CAMBRIDGE. OH
OA04,ARCADIA. OH
OA07,ROCK CREEK. OH
OA10,MOUNT ORAB. OH
OA11,ANNA. OH
OA12,MORROW. OH
OA14,DENNISON. OH
OA16,NORTH BEND. OH
OA19,NORTH CANTON. OH
OA40,LOUISVILLE. OH
OA85,DRESDEN. OH
OA86,WEST JEFFERSON. OH
OAJ,JACKSONVILLE. NC
OAK,OAKLAND. CA
OAR,MARINA. CA
OBE,OKEECHOBEE. FL
OBI,WOODBINE. NJ
OBU,KOBUK. AK
OCF,OCALA. FL
OCH,NACOGDOCHES. TX
OCQ,OCONTO. WI
OCW,WASHINGTON. NC
ODO,ODESSA. TX
ODX,ORD. NE
OEB,COLDWATER. MI
OEL,OAKLEY. KS
OEO,OSCEOLA. WI
OFF,OMAHA. NE
OFK,NORFOLK. NE
OFP,RICHMOND/ASHLAND. VA
OG00,CULVER. OR
OG01,CORVALLIS. OR
OG02,BANKS. OR
OG06,CHRISTMAS VALLEY. OR
OG07,COVE. OR
OG10,LEBANON. OR
OG13,RUCH. OR
OG14,SENECA. OR
OG15,SISTERS. OR
OG16,HALSEY. OR
OG19,MADRAS. OR
OG20,OREGON CITY. OR
OG21,PRINEVILLE. OR
OG23,SHERIDAN. OR
OG24,SUTHERLIN. OR
OG25,WHITE CITY. OR
OG27,HAINES. OR
OG28,SCIO. OR
OG29,SANDY. OR
OG30,OREGON CITY. OR
OG31,SHADY COVE. OR
OG33,MILTON/FREEWATER. OR
OG34,TIGARD. OR
OG36,JUNCTION CITY. OR
OG39,KIMBERLY. OR
OG40,ROSEBURG. OR
OG41,GLENDALE. OR
OG42,PENDLETON. OR
OG44,AMITY. OR
OG45,BAKER CITY. OR
OG48,COBURG. OR
OG49,CORVALLIS. OR
OG50,HARPER. OR
OG51,MADRAS. OR
OG52,MONMOUTH. OR
OG53,ANDREWS. OR
OG54,SHANIKO. OR
OG63,NORTH PLAINS. OR
OGA,OGALLALA. NE
OGB,ORANGEBURG. SC
OGD,OGDEN. UT
OGG,KAHULUI. HI
OGM,ONTONAGON. MI
OGS,OGDENSBURG. NY
OH03,MADISON. OH
OH07,MARLBORO. OH
OH12,GENEVA. OH
OH15,MINERVA. OH
OH18,SYCAMORE. OH
OH20,NEWARK. OH
OH21,GALION. OH
OH22,KIDRON. OH
OH24,ORRVILLE. OH
OH28,LEESBURG. OH
OH29,PETERSBURG. OH
OH32,ALLIANCE. OH
OH33,CORTLAND. OH
OH34,ANSONIA. OH
OH35,HALLSVILLE. OH
OH36,ZANESVILLE. OH
OH38,BELPRE. OH
OH40,RADNOR. OH
OH42,BUTLER. OH
OH44,GALENA. OH
OH45,BOWLING GREEN. OH
OH46,BROOKVILLE. OH
OH48,ALLIANCE. OH
OH55,BARLOW. OH
OH56,JOHNSTOWN. OH
OH59,FARMERSVILLE. OH
OH60,FORT JENNINGS. OH
OH61,AMANDA. OH
OH63,GERMANTOWN. OH
OH64,GERMANTOWN. OH
OH65,GOSHEN. OH
OH66,GOSHEN. OH
OH68,HARRISON. OH
OH71,TROY. OH
OH77,WILMINGTON. OH
OH78,LAURA. OH
OH82,ADAMS MILLS. OH
OH86,BELLEVUE. OH
OH87,CENTERBURG. OH
OH90,ST CLAIRSVILLE. OH
OH92,HOPEWELL. OH
OH93,MILFORD CENTER. OH
OH94,OLD WASHINGTON. OH
OH96,MOUNT ORAB. OH
OH97,MANTUA. OH
OH98,FINDLAY. OH
OH99,CECIL. OH
OI06,WEST MILTON. OH
OI11,CARROLLTON. OH
OI25,GREENFIELD. OH
OI28,MOUNT GILEAD. OH
OI31,LEROY. OH
OI32,RAVENNA. OH
OI36,GRATIS. OH
OI38,EAST LIBERTY. OH
OI40,GOSHEN. OH
OI41,HIRAM. OH
OI42,NEW LONDON. OH
OI52,JAMESTOWN. OH
OI55,WOOSTER. OH
OI57,HAMERSVILLE. OH
OI58,CANTON. OH
OI59,CHESTER. OH
OI60,MANSFIELD. OH
OI62,RUSSELL. OH
OI69,PAINESVILLE. OH
OI72,BLAKESLEE. OH
OI73,CEDARVILLE. OH
OI77,FOSTORIA. OH
OI82,JACKSON. OH
OI85,SABINA. OH
OI89,CAMDEN. OH
OI91,YELLOW SPRINGS. OH
OI98,CAMBRIDGE. OH
OIC,NORWICH. NY
OIN,OBERLIN. KS
OJA,WEATHERFORD. OK
OJC,OLATHE. KS
OK00,JACKTOWN. OK
OK01,VERA. OK
OK02,GOLDSBY. OK
OK03,ELGIN. OK
OK04,EUFAULA. OK
OK05,VINTA. OK
OK06,COOKSON. OK
OK07,LAWTON. OK
OK08,LAWTON. OK
OK10,HINTON. OK
OK11,COMANCHE. OK
OK12,WALTERS. OK
OK15,OOLAGAH. OK
OK16,CANEY. OK
OK17,ARDMORE. OK
OK18,ADAIR. OK
OK20,CLAREMORE. OK
OK21,PRYOR. OK
OK23,ARDMORE. OK
OK24,LONE GROVE. OK
OK25,HASKELL. OK
OK28,RAVIA. OK
OK29,MARIETTA. OK
OK30,LANGLEY. OK
OK31,THACKERVILLE. OK
OK32,NORMAN. OK
OK34,SALLISAW. OK
OK36,MOUNDS. OK
OK37,OOLOGAH. OK
OK39,FORGAN. OK
OK40,RUSH SPRINGS. OK
OK42,TALALA. OK
OK43,ALVA. OK
OK46,MANCHESTER. OK
OK47,MANCHESTER. OK
OK48,BURNEYVILLE. OK
OK49,PONCA CITY. OK
OK50,BEGGS. OK
OK51,HENNESSEY. OK
OK54,ALVA. OK
OK55,LUTHER. OK
OK56,LEXINGTON. OK
OK58,COLLINSVILLE. OK
OK59,POTEAU. OK
OK60,CHICKASHA. OK
OK62,ARDMORE. OK
OK64,LEXINGTON. OK
OK66,STILLWATER. OK
OK67,DUNCAN. OK
OK68,BOKCHITO. OK
OK69,BRISTOW. OK
OK70,HINTON. OK
OK71,CARRIER. OK
OK72,CHESTER. OK
OK74,ASHLAND. OK
OK77,HYDRO. OK
OK78,CHELSEA. OK
OK79,TEMPLE. OK
OK80,ADA. OK
OK81,MARLOW. OK
OK82,ALTUS. OK
OK85,ARDMORE. OK
OK88,SOUTH COFFEYVILLE. OK
OK89,MARLOW. OK
OK90,DUNCAN. OK
OK91,MARLOW. OK
OK93,COLLINSVILLE. OK
OK94,COLLINSVILLE. OK
OK95,DISNEY. OK
OK96,WELLSTON. OK
OK97,DUNCAN. OK
OK98,BURNS FLAT. OK
OK99,DRUMMOND. OK
OKB,OCEANSIDE. CA
OKC,OKLAHOMA CITY. OK
OKH,OAK HARBOR. WA
OKK,KOKOMO. IN
OKM,OKMULGEE. OK
OKS,OSHKOSH. NE
OKV,WINCHESTER. VA
OKZ,SANDERSVILLE. GA
OL02,ECHO. OR
OL05,MOLALLA. OR
OL09,COOPERTON. OK
OL10,HYDRO. OK
OL12,PERRY. OK
OL18,WATONGA. OK
OL19,SKIATOOK. OK
OL20,WAGONER. OK
OL23,CASHION. OK
OL24,LUTHER. OK
OL25,CLEO SPRINGS. OK
OL26,BOSWELL. OK
OL27,MARIETTA. OK
OL28,GEARY. OK
OL29,ELGIN. OK
OL30,WANETTE. OK
OL31,COWETA. OK
OL32,CHOUTEAU. OK
OL35,MOUNDS. OK
OL36,PAWHUSKA. OK
OL37,CONNERVILLE. OK
OL38,POTEAU. OK
OL39,STROUD. OK
OL40,CUSHING. OK
OL41,CALVIN. OK
OL44,RETROP. OK
OL48,HASKELL. OK
OL56,GUTHRIE. OK
OL99,HOMER. AK
OLD,OLD TOWN. ME
OLE,OLEAN. NY
OLF,WOLF POINT. MT
